======================
Proton: 1637264280 experimental-6.3-20211118
SteamGameId: 1217060
Command: ['/home/neuropain/.local/share/Steam/steamapps/common/Gunfire Reborn/Gunfire Reborn.exe', '-nolog']
Options: {'forcelgadd'}
depot: 0.20211014.30
pressure-vessel: 0.20210906.2
scripts: v0.20210917.0-0-g1cf127d
soldier: 0.20211013.0 soldier 0.20211013.0
Kernel: Linux 5.15.2-2-MANJARO #1 SMP PREEMPT Sat Nov 13 19:25:38 UTC 2021 x86_64
======================
fsync: up and running.
wine: RLIMIT_NICE is <= 20, unable to use setpriority safely
2147.361:00b8:00bc:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ole32.dll" at 00000002E8F10000: builtin
2147.362:00b8:00bc:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shcore.dll" at 00000003126F0000: builtin
2147.362:00b8:00bc:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shlwapi.dll" at 00000002E3540000: builtin
2147.362:00b8:00bc:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shell32.dll" at 00007F3C87DD0000: builtin
2147.407:00b8:00bc:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\imm32.dll" at 00000003AFD00000: builtin
2147.413:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\explorer.exe" at 0000000140000000: builtin
2147.413:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\kernelbase.dll" at 000000007B000000: builtin
2147.413:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\kernel32.dll" at 000000007B600000: builtin
2147.414:00c0:00c4:trace:seh:sigsys_handler SIGSYS, rax 0xffff, rip 0x600000000005.
2147.414:00c0:00c4:trace:seh:install_bpf Seccomp filters already installed.
2147.415:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\msvcrt.dll" at 00000001C8DB0000: builtin
2147.416:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ucrtbase.dll" at 00000003AF670000: builtin
2147.416:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\sechost.dll" at 000000032A700000: builtin
2147.416:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\advapi32.dll" at 0000000330260000: builtin
2147.416:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\gdi32.dll" at 000000026B4C0000: builtin
2147.417:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\rpcrt4.dll" at 0000000231AE0000: builtin
2147.418:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\version.dll" at 00000002F1FA0000: builtin
2147.418:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\setupapi.dll" at 000000021A7E0000: builtin
2147.418:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\user32.dll" at 000000023D820000: builtin
2147.464:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\combase.dll" at 0000000327020000: builtin
2147.464:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ole32.dll" at 00000002E8F10000: builtin
2147.464:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\imm32.dll" at 00000003AFD00000: builtin
2147.467:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\winex11.drv" at 00007FA0326B0000: builtin
2147.622:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shcore.dll" at 00000003126F0000: builtin
2147.623:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shlwapi.dll" at 00000002E3540000: builtin
2147.623:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shell32.dll" at 00007FA031100000: builtin
2147.628:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\oleaut32.dll" at 00000002739C0000: builtin
2147.628:00c0:00c4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\actxprxy.dll" at 00000001D0830000: builtin
2147.628:00c0:00c4:trace:seh:dispatch_exception code=6ba flags=0 addr=000000007B01239E ip=000000007B01239E tid=00c4
2147.628:00c0:00c4:warn:seh:dispatch_exception unknown exception (code=6ba) raised
2147.628:00c0:00c4:trace:seh:dispatch_exception  rax=000000007b012350 rbx=000000000073e9d8 rcx=000000000073e6f0 rdx=0000000000000000
